District Name,Rural/Urban,Total Number of households,Total Number of Livable,Total Number of Dilapidated,Latrine_premise
Faizabad,Urban,100,36.1,4.9,76.2
Ambedkar Nagar,Rural,100,46.4,9.9,13.9
Ambedkar Nagar,Total,100,45.9,9.9,18.6
Ambedkar Nagar,Urban,100,42,9.8,54.4
Sultanpur,Rural,100,49.8,8.6,13.1
Sultanpur,Total,100,48.8,8.4,16.2
Sultanpur,Urban,100,29.7,4.4,72.9
Bahraich,Rural,100,61.7,8.6,10.5
Bahraich,Total,100,60.2,8.4,15.7
Bahraich,Urban,100,42,5.7,79.5
Shrawasti,Rural,100,56.2,6.8,10.4
Shrawasti,Total,100,55.6,6.9,12
Shrawasti,Urban,100,37.5,10,63
Balrampur,Rural,100,56.7,6.7,10.2
Balrampur,Total,100,55.5,6.5,15
Balrampur,Urban,100,40.5,4.1,71.9
Gonda,Rural,100,51.1,11.3,7.9
Gonda,Total,100,49.9,10.9,12.5
Gonda,Urban,100,32.5,4.4,77.1
Siddharthnagar,Rural,100,44.8,6.6,10.4
Siddharthnagar,Total,100,44.2,6.5,12.7
Siddharthnagar,Urban,100,35.4,5.2,46.9
Basti,Rural,100,40.3,10,13.1
Basti,Total,100,40.1,9.8,16.4
Basti,Urban,100,35.7,6.8,72.1
Sant Kabir Nagar,Rural,100,43.4,10.2,12.3
Sant Kabir Nagar,Total,100,43,9.9,15
Sant Kabir Nagar,Urban,100,37.9,6.4,49.7
Mahrajganj,Rural,100,51.4,8.8,16.7
Mahrajganj,Total,100,50.8,8.7,18.8
Mahrajganj,Urban,100,39.3,5.8,58.4
Gorakhpur,Rural,100,46.8,8.9,18.6
Gorakhpur,Total,100,43.8,7.9,30.7
Gorakhpur,Urban,100,31.6,3.7,80.4
Kushinagar,Rural,100,55.9,8.5,14.8
Kushinagar,Total,100,55.1,8.5,17
Kushinagar,Urban,100,38.7,9.4,62.3
Deoria,Rural,100,46.5,8.5,16.7
Deoria,Total,100,45.3,8.3,21.2
Deoria,Urban,100,33.6,6.6,62.4
Azamgarh,Rural,100,48.3,9,16.8
Azamgarh,Total,100,47.4,8.7,20.5
Azamgarh,Urban,100,37.4,4.8,64.6
Mau,Rural,100,47.2,10.1,17.6
Mau,Total,100,46.5,9.4,27.4
Mau,Urban,100,44.1,6.8,63.5
Ballia,Rural,100,47.7,12.8,22.2
Ballia,Total,100,46.6,12.4,25.9
Ballia,Urban,100,36.1,9.3,61
Jaunpur,Rural,100,46.1,7.2,15.4
Jaunpur,Total,100,46,7,19.8
Jaunpur,Urban,100,44.5,4.4,71.8
Ghazipur,Rural,100,51.2,10.4,18.6
