"District_Name","RuralandUrban","households","Livable","Dilapidated","Latrine_premise","household_rural","houshold_urban","rural_livable","rural_dilapidated","rural_premise","urban_livable","urban_dilapidated","urban_premise"
"Fatehgarh Sahib","Rural",100,2971613919.19425,38410.432,495134.475,2972147464.10125,0.0,2971613919.19425,38410.432,495134.475,0.0,0.0,0.0
"Fatehgarh Sahib","Total",100,3108488257.2904696,34809.454,517940.669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fatehgarh Sahib","Urban",100,3382236933.48291,27007.335,563553.057,0.0,3382827493.8749104,0.0,0.0,0.0,3382236933.48291,27007.335,563553.057
"Ludhiana","Rural",100,107110277663.55876,248410.46899999998,3061396.625,107113587470.65276,0.0,107110277663.55876,248410.46899999998,3061396.625,0.0,0.0,0.0
"Ludhiana","Total",100,114210158925.82892,202926.862,3264323.4869999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ludhiana","Urban",100,118616981778.27249,171438.211,3390278.0910000005,0.0,118620543494.5745,0.0,0.0,0.0,118616981778.27249,171438.211,3390278.0910000005
"Moga","Rural",100,45.2,7.4,85.4,138.00000000000003,0.0,45.2,7.4,85.4,0.0,0.0,0.0
"Moga","Total",100,42.7,7.3,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Moga","Urban",100,34.8,6.7,94.7,0.0,136.2,0.0,0.0,0.0,34.8,6.7,94.7
"Firozpur","Rural",100,50.9,10.8,66.6,128.3,0.0,50.9,10.8,66.6,0.0,0.0,0.0
"Firozpur","Total",100,48.2,9.7,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Firozpur","Urban",100,41.1,7.1,90.7,0.0,138.9,0.0,0.0,0.0,41.1,7.1,90.7
"Muktsar","Rural",100,52.8,10.7,72.3,135.79999999999998,0.0,52.8,10.7,72.3,0.0,0.0,0.0
"Muktsar","Total",100,49.2,10.2,77.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Muktsar","Urban",100,40.3,9.1,89.8,0.0,139.2,0.0,0.0,0.0,40.3,9.1,89.8
"Faridkot","Rural",100,49.0,7.7,80.1,136.79999999999998,0.0,49.0,7.7,80.1,0.0,0.0,0.0
"Faridkot","Total",100,45.9,7.9,84.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Faridkot","Urban",100,40.4,8.1,92.8,0.0,141.29999999999998,0.0,0.0,0.0,40.4,8.1,92.8
"Bathinda","Rural",100,51.1,7.4,84.3,142.8,0.0,51.1,7.4,84.3,0.0,0.0,0.0
